Sample	Amikacin	Amoxicillin	Ampicillin	Apramycin	Cefotaxime	Ceftazidime	Chloramphenicol	Ciprofloxacin	Furazolidone	Gentamicin	Nalidixic-acid	Neomycin	Streptomycin	Sulphonamide-compounds	Sulphamethoxazole-trimethoprim	Tetracycline
L01667-06	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1
L02597-15	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1
L02609-15	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1
L02639-15	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1
L02647-15	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1
L02655-15	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1
L02660-15	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1
S00265-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00272-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00276-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00285-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00298-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00299-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00307-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00410-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00537-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00538-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00539-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00540-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00541-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00542-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S00681-12	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1
S00682-12	0	1	1	0	1	1	1	0	0	0	0	1	1	1	0	1
S00742-16	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
S01352-16	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S01353-16	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S01399-16	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1
S01413-16	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S01414-16	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S01415-16	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1
S02076-10	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S02077-10	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S02078-10	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S02205-10	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
S02993-09	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1
S03927-11	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S04036-09	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
S04327-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S04328-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S04330-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
S04331-09	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
S04332-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S04442-11	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
S04550-11	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	1
S04551-11	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1
S04555-11	0	1	1	0	1	1	1	0	0	0	0	1	1	1	0	1
S04615-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S04765-08	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
S04766-08	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
S04851-11	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1
S04854-11	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1
S04855-11	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1
S05106-09	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
S05107-09	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
S05109-09	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1
S05110-09	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1
S05114-09	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1
S05116-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S05119-09	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
S05123-09	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
S05124-09	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
S05129-09	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
S05130-09	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
S05131-09	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
S05139-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S05140-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S05141-09	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1
S05142-09	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0
S05144-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S05148-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05149-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S05149-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05150-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05151-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S05151-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05152-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05153-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05154-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05155-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05156-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05157-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05158-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05204-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05205-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05206-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05207-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05208-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05209-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05215-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05228-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05229-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05230-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05231-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05232-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05233-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05238-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05313-08	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S05355-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05459-10	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
S05554-13	0	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1
S05822-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05825-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0
S05833-15	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05834-15	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0
S05855-12	0	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1
S05857-12	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1
S05860-12	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
S05875-09	0	0	1	0	1	0	0	0	0	1	0	0	1	1	1	1
S05876-09	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	1
S05877-09	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1
S05878-09	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1
S05879-09	0	0	1	0	1	0	1	0	0	1	0	0	1	1	1	1
S05880-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S05881-09	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1
S05898-09	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1
S05899-09	0	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1
S05900-09	0	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1
S05904-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S05905-09	0	0	1	0	1	1	0	0	0	1	0	0	1	1	1	1
S05906-09	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
S05928-08	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	1
S05930-08	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1
S07316-06	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1
S07318-06	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0
S08994-07	0	1	1	0	1	1	1	0	0	0	0	1	1	1	0	1
